file,line,real_a,real_k,real_b,mle_b,success
erik-sim/a1_k20_b3/trees.tre,67,1.0,20.0,3.0,2.964678483191056,True
erik-sim/a1_k20_b3/trees.tre,68,1.0,20.0,3.0,2.512374244841774,True
erik-sim/a1_k20_b3/trees.tre,69,1.0,20.0,3.0,4.334459336001122,True
erik-sim/a1_k20_b3/trees.tre,70,1.0,20.0,3.0,2.003128094408569,True
erik-sim/a1_k20_b3/trees.tre,72,1.0,20.0,3.0,4.273420966674176,True
erik-sim/a1_k20_b3/trees.tre,73,1.0,20.0,3.0,3.0554284534417193,True
erik-sim/a1_k20_b3/trees.tre,74,1.0,20.0,3.0,2.8743142826195056,True
erik-sim/a1_k20_b3/trees.tre,77,1.0,20.0,3.0,2.409306050148976,True
erik-sim/a1_k20_b3/trees.tre,78,1.0,20.0,3.0,2.9530949587580677,True
erik-sim/a1_k20_b3/trees.tre,79,1.0,20.0,3.0,1.9000450171436878,True
erik-sim/a1_k20_b3/trees.tre,83,1.0,20.0,3.0,2.9591388888288717,True
erik-sim/a1_k20_b3/trees.tre,84,1.0,20.0,3.0,2.697177065592273,True
erik-sim/a1_k20_b3/trees.tre,85,1.0,20.0,3.0,2.1949674370010137,True
erik-sim/a1_k20_b3/trees.tre,87,1.0,20.0,3.0,2.080576547681035,True
erik-sim/a1_k20_b3/trees.tre,88,1.0,20.0,3.0,1.9501899472383302,True
erik-sim/a1_k20_b3/trees.tre,90,1.0,20.0,3.0,3.004617424159241,True
erik-sim/a1_k20_b3/trees.tre,92,1.0,20.0,3.0,3.5031657475948315,True
erik-sim/a1_k20_b3/trees.tre,94,1.0,20.0,3.0,2.5714157487732576,True
erik-sim/a1_k20_b3/trees.tre,95,1.0,20.0,3.0,2.2006506958614738,True
erik-sim/a1_k20_b3/trees.tre,96,1.0,20.0,3.0,4.1704912620940044,True
erik-sim/a1_k20_b3/trees.tre,97,1.0,20.0,3.0,1.6914075260577568,True
erik-sim/a1_k20_b3/trees.tre,98,1.0,20.0,3.0,1.9181467912768664,True
erik-sim/a1_k20_b3/trees.tre,99,1.0,20.0,3.0,2.1365603932301314,True
erik-sim/a1_k20_b3/trees.tre,100,1.0,20.0,3.0,4.294915574818541,True
erik-sim/a1_k20_b3/trees.tre,101,1.0,20.0,3.0,2.7125285918306465,True
erik-sim/a1_k20_b3/trees.tre,102,1.0,20.0,3.0,2.099549662106984,True
erik-sim/a1_k20_b3/trees.tre,103,1.0,20.0,3.0,3.2160812140525556,True
erik-sim/a1_k20_b3/trees.tre,104,1.0,20.0,3.0,2.609177067933851,True
